News_Data,Labelling,Cleaned_News-Data,Tokenized,Tokenized_Stopword,Tokenized_Stopword_Stemmed,Detokenized
Produk Kebutuhan Harian Diskon hingga 20% di Transmart Full Day Sale,0,produk kebutuhan harian diskon hingga di transmart full day sale,"['produk', 'kebutuhan', 'harian', 'diskon', 'hingga', 'di', 'transmart', 'full', 'day', 'sale']","['produk', 'kebutuhan', 'harian', 'diskon', 'transmart', 'full', 'day', 'sale']","['produk', 'butuh', 'hari', 'diskon', 'transmart', 'full', 'day', 'sale']",produk butuh hari diskon transmart full day sale
"6 Adab Menjenguk Orang Sakit, Muslim Wajib Perhatikan",0,adab menjenguk orang sakit muslim wajib perhatikan,"['adab', 'menjenguk', 'orang', 'sakit', 'muslim', 'wajib', 'perhatikan']","['adab', 'menjenguk', 'orang', 'sakit', 'muslim', 'wajib', 'perhatikan']","['adab', 'jenguk', 'orang', 'sakit', 'muslim', 'wajib', 'perhati']",adab jenguk orang sakit muslim wajib perhati
"Hasil Playoff MLS Cup: Messi Cetak Gol, Inter Miami Kalah 1-2",0,hasil playoff mls cup messi cetak gol inter miami kalah,"['hasil', 'playoff', 'mls', 'cup', 'messi', 'cetak', 'gol', 'inter', 'miami', 'kalah']","['hasil', 'playoff', 'mls', 'cup', 'messi', 'cetak', 'gol', 'inter', 'miami', 'kalah']","['hasil', 'playoff', 'mls', 'cup', 'messi', 'cetak', 'gol', 'inter', 'miami', 'kalah']",hasil playoff mls cup messi cetak gol inter miami kalah
Alasan Megawati Tak Mau Punya HP: Saya Orang yang Dicari,0,alasan megawati tak mau punya hp saya orang yang dicari,"['alasan', 'megawati', 'tak', 'mau', 'punya', 'hp', 'saya', 'orang', 'yang', 'dicari']","['alasan', 'megawati', 'hp', 'orang', 'dicari']","['alas', 'megawati', 'hp', 'orang', 'cari']",alas megawati hp orang cari
Terlalu Banyak Makan Wortel Bisa Bikin Kulit Kuning? Ini Faktanya,0,terlalu banyak makan wortel bisa bikin kulit kuning ini faktanya,"['terlalu', 'banyak', 'makan', 'wortel', 'bisa', 'bikin', 'kulit', 'kuning', 'ini', 'faktanya']","['makan', 'wortel', 'bikin', 'kulit', 'kuning', 'faktanya']","['makan', 'wortel', 'bikin', 'kulit', 'kuning', 'fakta']",makan wortel bikin kulit kuning fakta
Zulhas: Rupiah Digital Simbol Kedaulatan Ekonomi,1,zulhas rupiah digital simbol kedaulatan ekonomi,"['zulhas', 'rupiah', 'digital', 'simbol', 'kedaulatan', 'ekonomi']","['zulhas', 'rupiah', 'digital', 'simbol', 'kedaulatan', 'ekonomi']","['zulhas', 'rupiah', 'digital', 'simbol', 'daulat', 'ekonomi']",zulhas rupiah digital simbol daulat ekonomi
Korban Jiwa Akibat Badai Melissa Diperkirakan Terus Bertambah,-1,korban jiwa akibat badai melissa diperkirakan terus bertambah,"['korban', 'jiwa', 'akibat', 'badai', 'melissa', 'diperkirakan', 'terus', 'bertambah']","['korban', 'jiwa', 'akibat', 'badai', 'melissa', 'bertambah']","['korban', 'jiwa', 'akibat', 'badai', 'melissa', 'tambah']",korban jiwa akibat badai melissa tambah
FOTO: Timnas Futsal Cetak Rekor di Indonesia Arena,1,foto timnas futsal cetak rekor di indonesia arena,"['foto', 'timnas', 'futsal', 'cetak', 'rekor', 'di', 'indonesia', 'arena']","['foto', 'timnas', 'futsal', 'cetak', 'rekor', 'indonesia', 'arena']","['foto', 'timnas', 'futsal', 'cetak', 'rekor', 'indonesia', 'arena']",foto timnas futsal cetak rekor indonesia arena
"Hari Ini Transmart Full Day Sale Hujan Diskon, Cek Daftar Produknya",0,hari ini transmart full day sale hujan diskon cek daftar produknya,"['hari', 'ini', 'transmart', 'full', 'day', 'sale', 'hujan', 'diskon', 'cek', 'daftar', 'produknya']","['transmart', 'full', 'day', 'sale', 'hujan', 'diskon', 'cek', 'daftar', 'produknya']","['transmart', 'full', 'day', 'sale', 'hujan', 'diskon', 'cek', 'daftar', 'produk']",transmart full day sale hujan diskon cek daftar produk
VIDEO: Projo Tak Akan Berubah Menjadi Partai Politik,0,video projo tak akan berubah menjadi partai politik,"['video', 'projo', 'tak', 'akan', 'berubah', 'menjadi', 'partai', 'politik']","['video', 'projo', 'berubah', 'partai', 'politik']","['video', 'projo', 'ubah', 'partai', 'politik']",video projo ubah partai politik
"10 Hotel Terbaik di Dunia 2025, Thailand Punya 3 Wakil",0,hotel terbaik di dunia thailand punya wakil,"['hotel', 'terbaik', 'di', 'dunia', 'thailand', 'punya', 'wakil']","['hotel', 'terbaik', 'dunia', 'thailand', 'wakil']","['hotel', 'baik', 'dunia', 'thailand', 'wakil']",hotel baik dunia thailand wakil
Budi Arie Ungkap Alasan Ingin Gabung Gerindra,0,budi arie ungkap alasan ingin gabung gerindra,"['budi', 'arie', 'ungkap', 'alasan', 'ingin', 'gabung', 'gerindra']","['budi', 'arie', 'alasan', 'gabung', 'gerindra']","['budi', 'arie', 'alas', 'gabung', 'gerindra']",budi arie alas gabung gerindra
Jadwal Siaran Langsung 3 Wakil Indonesia di Final Hylo Open 2025,0,jadwal siaran langsung wakil indonesia di final hylo open,"['jadwal', 'siaran', 'langsung', 'wakil', 'indonesia', 'di', 'final', 'hylo', 'open']","['jadwal', 'siaran', 'langsung', 'wakil', 'indonesia', 'final', 'hylo', 'open']","['jadwal', 'siar', 'langsung', 'wakil', 'indonesia', 'final', 'hylo', 'open']",jadwal siar langsung wakil indonesia final hylo open
"Peserta Harus Tahu, Ini Daftar Penyakit yang Ditanggung BPJS Kesehatan",0,peserta harus tahu ini daftar penyakit yang ditanggung bpjs kesehatan,"['peserta', 'harus', 'tahu', 'ini', 'daftar', 'penyakit', 'yang', 'ditanggung', 'bpjs', 'kesehatan']","['peserta', 'daftar', 'penyakit', 'ditanggung', 'bpjs', 'kesehatan']","['serta', 'daftar', 'sakit', 'tanggung', 'bpjs', 'sehat']",serta daftar sakit tanggung bpjs sehat
"5 Fakta Masjid Al Aqsa, Kiblat Pertama Umat Islam yang Terancam Roboh",0,fakta masjid al aqsa kiblat pertama umat islam yang terancam roboh,"['fakta', 'masjid', 'al', 'aqsa', 'kiblat', 'pertama', 'umat', 'islam', 'yang', 'terancam', 'roboh']","['fakta', 'masjid', 'al', 'aqsa', 'kiblat', 'umat', 'islam', 'terancam', 'roboh']","['fakta', 'masjid', 'al', 'aqsa', 'kiblat', 'umat', 'islam', 'ancam', 'roboh']",fakta masjid al aqsa kiblat umat islam ancam roboh
Kaukus Kebebasan Akademik Tolak Usulan Soeharto Pahlawan Nasional,0,kaukus kebebasan akademik tolak usulan soeharto pahlawan nasional,"['kaukus', 'kebebasan', 'akademik', 'tolak', 'usulan', 'soeharto', 'pahlawan', 'nasional']","['kaukus', 'kebebasan', 'akademik', 'tolak', 'usulan', 'soeharto', 'pahlawan', 'nasional']","['kaukus', 'bebas', 'akademik', 'tolak', 'usul', 'soeharto', 'pahlawan', 'nasional']",kaukus bebas akademik tolak usul soeharto pahlawan nasional
Jadwal Siaran Langsung Persebaya vs Persis di Super League,0,jadwal siaran langsung persebaya vs persis di super league,"['jadwal', 'siaran', 'langsung', 'persebaya', 'vs', 'persis', 'di', 'super', 'league']","['jadwal', 'siaran', 'langsung', 'persebaya', 'vs', 'persis', 'super', 'league']","['jadwal', 'siar', 'langsung', 'baya', 'vs', 'persis', 'super', 'league']",jadwal siar langsung baya vs persis super league
"Serbu Transmart Full Day Sale Sekarang, Ada Diskon 50% + 20%",0,serbu transmart full day sale sekarang ada diskon,"['serbu', 'transmart', 'full', 'day', 'sale', 'sekarang', 'ada', 'diskon']","['serbu', 'transmart', 'full', 'day', 'sale', 'diskon']","['serbu', 'transmart', 'full', 'day', 'sale', 'diskon']",serbu transmart full day sale diskon
VIDEO: Projo Tak Akan Berubah Menjadi Partai Politik,0,video projo tak akan berubah menjadi partai politik,"['video', 'projo', 'tak', 'akan', 'berubah', 'menjadi', 'partai', 'politik']","['video', 'projo', 'berubah', 'partai', 'politik']","['video', 'projo', 'ubah', 'partai', 'politik']",video projo ubah partai politik
30 Menit Sebelum Olahraga Sebaiknya Makan Apa? Ini 7 Rekomendasinya,0,menit sebelum olahraga sebaiknya makan apa ini rekomendasinya,"['menit', 'sebelum', 'olahraga', 'sebaiknya', 'makan', 'apa', 'ini', 'rekomendasinya']","['menit', 'olahraga', 'makan', 'rekomendasinya']","['menit', 'olahraga', 'makan', 'rekomendasi']",menit olahraga makan rekomendasi
5 Rekomendasi Drama Korea Terbaru November 2025,0,rekomendasi drama korea terbaru november,"['rekomendasi', 'drama', 'korea', 'terbaru', 'november']","['rekomendasi', 'drama', 'korea', 'terbaru', 'november']","['rekomendasi', 'drama', 'korea', 'baru', 'november']",rekomendasi drama korea baru november
"Sports Sepekan: Megawati Tinggalkan Manisa, Veda Ega Resmi ke Moto3",0,sports sepekan megawati tinggalkan manisa veda ega resmi ke moto,"['sports', 'sepekan', 'megawati', 'tinggalkan', 'manisa', 'veda', 'ega', 'resmi', 'ke', 'moto']","['sports', 'sepekan', 'megawati', 'tinggalkan', 'manisa', 'veda', 'ega', 'resmi', 'moto']","['sports', 'pek', 'megawati', 'tinggal', 'manisa', 'veda', 'ega', 'resmi', 'moto']",sports pek megawati tinggal manisa veda ega resmi moto
Morgan Stanley Prediksi Harga Emas ke Angka Ini di 2026,0,morgan stanley prediksi harga emas ke angka ini di,"['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'ke', 'angka', 'ini', 'di']","['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'angka']","['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'angka']",morgan stanley prediksi harga emas angka
Kata-kata Pelatih Timnas Futsal Indonesia Usai Hajar Australia,0,kata kata pelatih timnas futsal indonesia usai hajar australia,"['kata', 'kata', 'pelatih', 'timnas', 'futsal', 'indonesia', 'usai', 'hajar', 'australia']","['pelatih', 'timnas', 'futsal', 'indonesia', 'hajar', 'australia']","['latih', 'timnas', 'futsal', 'indonesia', 'hajar', 'australia']",latih timnas futsal indonesia hajar australia
FOTO: Ratusan Mobil Antik Tersimpan Apik di Museum Kebon Vintage Car,0,foto ratusan mobil antik tersimpan apik di museum kebon vintage car,"['foto', 'ratusan', 'mobil', 'antik', 'tersimpan', 'apik', 'di', 'museum', 'kebon', 'vintage', 'car']","['foto', 'ratusan', 'mobil', 'antik', 'tersimpan', 'apik', 'museum', 'kebon', 'vintage', 'car']","['foto', 'ratus', 'mobil', 'antik', 'simpan', 'apik', 'museum', 'kebon', 'vintage', 'car']",foto ratus mobil antik simpan apik museum kebon vintage car
"Hasil Liga Inggris: Emi Martinez Blunder, Liverpool Hajar Aston Villa",0,hasil liga inggris emi martinez blunder liverpool hajar aston villa,"['hasil', 'liga', 'inggris', 'emi', 'martinez', 'blunder', 'liverpool', 'hajar', 'aston', 'villa']","['hasil', 'liga', 'inggris', 'emi', 'martinez', 'blunder', 'liverpool', 'hajar', 'aston', 'villa']","['hasil', 'liga', 'inggris', 'emi', 'martinez', 'blunder', 'liverpool', 'hajar', 'aston', 'villa']",hasil liga inggris emi martinez blunder liverpool hajar aston villa
"Hasil Liga Spanyol: Mbappe 2 Gol, Real Madrid Bantai Valencia",0,hasil liga spanyol mbappe gol real madrid bantai valencia,"['hasil', 'liga', 'spanyol', 'mbappe', 'gol', 'real', 'madrid', 'bantai', 'valencia']","['hasil', 'liga', 'spanyol', 'mbappe', 'gol', 'real', 'madrid', 'bantai', 'valencia']","['hasil', 'liga', 'spanyol', 'mbappe', 'gol', 'real', 'madrid', 'bantai', 'valencia']",hasil liga spanyol mbappe gol real madrid bantai valencia
"Kalah Saing dengan OpenAI, Microsoft Siapkan AI Ramah Anak",1,kalah saing dengan openai microsoft siapkan ai ramah anak,"['kalah', 'saing', 'dengan', 'openai', 'microsoft', 'siapkan', 'ai', 'ramah', 'anak']","['kalah', 'saing', 'openai', 'microsoft', 'siapkan', 'ai', 'ramah', 'anak']","['kalah', 'saing', 'openai', 'microsoft', 'siap', 'ai', 'ramah', 'anak']",kalah saing openai microsoft siap ai ramah anak
"Hasil Liga Italia: Emil Audero Marah-marah, Cremonese Dihajar Juventus",0,hasil liga italia emil audero marah marah cremonese dihajar juventus,"['hasil', 'liga', 'italia', 'emil', 'audero', 'marah', 'marah', 'cremonese', 'dihajar', 'juventus']","['hasil', 'liga', 'italia', 'emil', 'audero', 'marah', 'marah', 'cremonese', 'dihajar', 'juventus']","['hasil', 'liga', 'italia', 'emil', 'audero', 'marah', 'marah', 'cremonese', 'hajar', 'juventus']",hasil liga italia emil audero marah marah cremonese hajar juventus
"FOTO: China Luncurkan Roket Shenzhou-21 Lagi, Bawa Astronaut Termuda",0,foto china luncurkan roket shenzhou lagi bawa astronaut termuda,"['foto', 'china', 'luncurkan', 'roket', 'shenzhou', 'lagi', 'bawa', 'astronaut', 'termuda']","['foto', 'china', 'luncurkan', 'roket', 'shenzhou', 'bawa', 'astronaut', 'termuda']","['foto', 'china', 'luncur', 'roket', 'shenzhou', 'bawa', 'astronaut', 'muda']",foto china luncur roket shenzhou bawa astronaut muda
"Hasil Chennai Open: Aldila/Janice Lolos ke Final, Lawan Banting Raket",0,hasil chennai open aldila janice lolos ke final lawan banting raket,"['hasil', 'chennai', 'open', 'aldila', 'janice', 'lolos', 'ke', 'final', 'lawan', 'banting', 'raket']","['hasil', 'chennai', 'open', 'aldila', 'janice', 'lolos', 'final', 'lawan', 'banting', 'raket']","['hasil', 'chennai', 'open', 'aldila', 'janice', 'lolos', 'final', 'lawan', 'banting', 'raket']",hasil chennai open aldila janice lolos final lawan banting raket
"Disney-YouTube Gagal Negosiasi, Jutaan Warga AS Gigit Jari",0,disney youtube gagal negosiasi jutaan warga as gigit jari,"['disney', 'youtube', 'gagal', 'negosiasi', 'jutaan', 'warga', 'as', 'gigit', 'jari']","['disney', 'youtube', 'gagal', 'negosiasi', 'jutaan', 'warga', 'as', 'gigit', 'jari']","['disney', 'youtube', 'gagal', 'negosiasi', 'juta', 'warga', 'as', 'gigit', 'jari']",disney youtube gagal negosiasi juta warga as gigit jari
"Dua Pria Tikam Penumpang Kereta Api, 9 Orang Terluka",-1,dua pria tikam penumpang kereta api orang terluka,"['dua', 'pria', 'tikam', 'penumpang', 'kereta', 'api', 'orang', 'terluka']","['pria', 'tikam', 'penumpang', 'kereta', 'api', 'orang', 'terluka']","['pria', 'tikam', 'tumpang', 'kereta', 'api', 'orang', 'luka']",pria tikam tumpang kereta api orang luka
Hasil Studi: Ciri Psikopat Bisa Dikenali dari Makanan Kesukaan,0,hasil studi ciri psikopat bisa dikenali dari makanan kesukaan,"['hasil', 'studi', 'ciri', 'psikopat', 'bisa', 'dikenali', 'dari', 'makanan', 'kesukaan']","['hasil', 'studi', 'ciri', 'psikopat', 'dikenali', 'makanan', 'kesukaan']","['hasil', 'studi', 'ciri', 'psikopat', 'nali', 'makan', 'suka']",hasil studi ciri psikopat nali makan suka
Mengerikan! Ini 10 Badai Terbesar Dalam Sejarah Dunia,-1,mengerikan ini badai terbesar dalam sejarah dunia,"['mengerikan', 'ini', 'badai', 'terbesar', 'dalam', 'sejarah', 'dunia']","['mengerikan', 'badai', 'terbesar', 'sejarah', 'dunia']","['keri', 'badai', 'besar', 'sejarah', 'dunia']",keri badai besar sejarah dunia
Presiden Korsel Minta Prabowo Lanjutkan Kerja Sama Proyek Jet Tempur,0,presiden korsel minta prabowo lanjutkan kerja sama proyek jet tempur,"['presiden', 'korsel', 'minta', 'prabowo', 'lanjutkan', 'kerja', 'sama', 'proyek', 'jet', 'tempur']","['presiden', 'korsel', 'prabowo', 'lanjutkan', 'kerja', 'proyek', 'jet', 'tempur']","['presiden', 'korsel', 'prabowo', 'lanjut', 'kerja', 'proyek', 'jet', 'tempur']",presiden korsel prabowo lanjut kerja proyek jet tempur
Banjir Besar! 31 Tewas dan Puluhan Masih Hilang,-1,banjir besar tewas dan puluhan masih hilang,"['banjir', 'besar', 'tewas', 'dan', 'puluhan', 'masih', 'hilang']","['banjir', 'tewas', 'puluhan', 'hilang']","['banjir', 'tewas', 'puluh', 'hilang']",banjir tewas puluh hilang
"Tanah Bisa Hilang Sekejap, Ini 4 Modus Kejam Mafia Tanah di Indonesia",0,tanah bisa hilang sekejap ini modus kejam mafia tanah di indonesia,"['tanah', 'bisa', 'hilang', 'sekejap', 'ini', 'modus', 'kejam', 'mafia', 'tanah', 'di', 'indonesia']","['tanah', 'hilang', 'sekejap', 'modus', 'kejam', 'mafia', 'tanah', 'indonesia']","['tanah', 'hilang', 'kejap', 'modus', 'kejam', 'mafia', 'tanah', 'indonesia']",tanah hilang kejap modus kejam mafia tanah indonesia
Harga Perak Masih Menguat Sepekan di Tengah Tekanan The Fed,0,harga perak masih menguat sepekan di tengah tekanan the fed,"['harga', 'perak', 'masih', 'menguat', 'sepekan', 'di', 'tengah', 'tekanan', 'the', 'fed']","['harga', 'perak', 'menguat', 'sepekan', 'tekanan', 'the', 'fed']","['harga', 'perak', 'kuat', 'pek', 'tekan', 'the', 'fed']",harga perak kuat pek tekan the fed
"Menang Banyak Belanja di Transmart Hari Ini, Ada Diskon Besar!",0,menang banyak belanja di transmart hari ini ada diskon besar,"['menang', 'banyak', 'belanja', 'di', 'transmart', 'hari', 'ini', 'ada', 'diskon', 'besar']","['menang', 'belanja', 'transmart', 'diskon']","['menang', 'belanja', 'transmart', 'diskon']",menang belanja transmart diskon
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,0,ihsg bisa tergelincir di november polanya mirip,"['ihsg', 'bisa', 'tergelincir', 'di', 'november', 'polanya', 'mirip']","['ihsg', 'tergelincir', 'november', 'polanya']","['ihsg', 'gelincir', 'november', 'pola']",ihsg gelincir november pola
Peneliti Asing Ungkap Ada Ancaman Besar di Wilayah RI Ini,-1,peneliti asing ungkap ada ancaman besar di wilayah ri ini,"['peneliti', 'asing', 'ungkap', 'ada', 'ancaman', 'besar', 'di', 'wilayah', 'ri', 'ini']","['peneliti', 'asing', 'ancaman', 'wilayah', 'ri']","['teliti', 'asing', 'ancam', 'wilayah', 'ri']",teliti asing ancam wilayah ri
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",0,pdip bongkar fakta lama soal kereta cepat whoosh sebut sebut jokowi,"['pdip', 'bongkar', 'fakta', 'lama', 'soal', 'kereta', 'cepat', 'whoosh', 'sebut', 'sebut', 'jokowi']","['pdip', 'bongkar', 'fakta', 'kereta', 'cepat', 'whoosh', 'jokowi']","['pdip', 'bongkar', 'fakta', 'kereta', 'cepat', 'whoosh', 'jokowi']",pdip bongkar fakta kereta cepat whoosh jokowi
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,0,cerita menteri keuangan ri dicegat masuk istana gara gara kijang tua,"['cerita', 'menteri', 'keuangan', 'ri', 'dicegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']","['cerita', 'menteri', 'keuangan', 'ri', 'dicegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']","['cerita', 'menteri', 'uang', 'ri', 'cegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']",cerita menteri uang ri cegat masuk istana gara gara kijang tua
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,0,ihsg bisa tergelincir di november polanya mirip,"['ihsg', 'bisa', 'tergelincir', 'di', 'november', 'polanya', 'mirip']","['ihsg', 'tergelincir', 'november', 'polanya']","['ihsg', 'gelincir', 'november', 'pola']",ihsg gelincir november pola
